[2025-06-26 12:29:30] IP: 172.16.68.252 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php | Elemento: No especificado
[2025-06-28 21:06:41] IP: 172.16.68.252 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-30 14:24:08] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-30 14:24:14] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
[2025-06-30 14:24:15] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
[2025-06-30 14:24:17] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-07-01 09:28:01] IP: 172.23.151.196 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-07-01 09:28:14] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-07-01 09:45:17] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-07-01 09:49:14] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-07-01 09:49:31] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-07-01 09:49:53] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Reporte Firmware SV
[2025-07-01 11:25:50] IP: 172.28.51.17 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-07-01 11:25:53] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-07-01 11:51:53] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
[2025-07-01 11:51:54] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
